symbol,date,open,high,low,close,volume
CVPUSDT,2024-08-26,0.0511,0.0538,0.0328,0.0339,18520019.9
AGLDUSDT,2025-10-22,0.414,0.417,0.395,0.398,2031503.5
RADUSDT,2025-10-22,0.506,0.542,0.499,0.503,2906377.6
BETAUSDT,2025-04-16,0.00074,0.00074,0.00031,0.00036,270706254.0
RAREUSDT,2025-10-22,0.0359,0.0366,0.0348,0.0351,29547814.5
LAZIOUSDT,2025-10-22,0.855,0.874,0.844,0.844,304819.73
CHESSUSDT,2025-10-22,0.04591,0.04664,0.04475,0.04512,9146597.8
ADXUSDT,2025-10-22,0.0933,0.095,0.09,0.0901,25365846.0
AUCTIONUSDT,2025-10-22,7.76,8.9,7.32,7.69,1782359.61
DARUSDT,2025-01-06,0.21489,0.21873,0.20721,0.21707,9993220.0
BNXUSDT,2025-03-18,1.9865,2.12,1.71,1.7819,6792413.4
RGTUSDT,2022-03-14,14.31,14.52,14.25,14.44,3230.59
MOVRUSDT,2025-10-22,3.749,3.797,3.654,3.67,167135.814
CITYUSDT,2025-10-22,0.764,0.768,0.744,0.747,497246.85
ENSUSDT,2025-10-22,15.25,15.45,14.88,14.97,335320.62
KP3RUSDT,2024-11-06,16.6,17.26,16.14,16.48,7935.72
QIUSDT,2025-10-22,0.00531,0.00545,0.00527,0.00529,53709433.0
PORTOUSDT,2025-10-22,1.003,1.024,0.985,0.987,223063.93
POWRUSDT,2025-10-22,0.1165,0.1177,0.1134,0.1139,1839555.0
VGXUSDT,2024-08-26,0.0178,0.0189,0.0164,0.018,37634406.4
JASMYUSDT,2025-10-22,0.00995,0.01019,0.0096,0.00987,367138520.5
AMPUSDT,2025-10-22,0.002363,0.00249,0.002356,0.002376,306940786.0
PLAUSDT,2024-02-26,0.2262,0.238,0.2223,0.2347,3231600.16
PYRUSDT,2025-10-22,0.67,0.684,0.644,0.652,699526.018
RNDRUSDT,2024-07-22,7.181,7.189,6.811,7.03,790670.45
ALCXUSDT,2025-10-22,8.01,8.39,7.57,7.59,73403.3798
SANTOSUSDT,2025-10-22,1.365,1.384,1.332,1.335,495454.36
MCUSDT,2023-11-07,0.4883,0.5055,0.4719,0.4861,1764469.19
ANYUSDT,2022-03-30,12.4,12.47,12.07,12.3,61319.93
BICOUSDT,2025-10-22,0.0639,0.0648,0.0623,0.0625,4292332.9
FLUXUSDT,2025-10-22,0.1222,0.1246,0.1184,0.12,3962713.06
FXSUSDT,2025-10-22,1.375,1.418,1.36,1.367,770349.3
VOXELUSDT,2025-10-22,0.0378,0.0395,0.0374,0.0386,16755814.2
HIGHUSDT,2025-10-22,0.315,0.318,0.304,0.305,1468973.01
CVXUSDT,2025-10-22,2.315,2.322,2.206,2.22,530055.222
PEOPLEUSDT,2025-10-22,0.01214,0.01232,0.01178,0.01186,254484655.9
OOKIUSDT,2024-11-06,0.000156,0.000163,0.000116,0.000119,7343592075.0
SPELLUSDT,2025-10-22,0.0003415,0.0003498,0.0003383,0.0003402,1173437665.0
USTUSDT,2022-05-13,0.3636,0.389998,0.240002,0.245779,120489341.0
JOEUSDT,2025-10-22,0.1129,0.1151,0.1101,0.1108,2883056.97
ACHUSDT,2025-10-22,0.01291,0.01313,0.01253,0.01267,156936932.0
IMXUSDT,2025-10-22,0.508,0.541,0.498,0.502,7007188.3
GLMRUSDT,2025-10-22,0.0404,0.0406,0.0382,0.0387,14357283.2
LOKAUSDT,2025-07-28,0.1182,0.13,0.1159,0.1237,7279008.4
SCRTUSDT,2025-10-22,0.1572,0.161,0.1522,0.1527,2935065.2
API3USDT,2025-10-22,0.6974,0.73,0.6692,0.6713,2190965.12
BTTCUSDT,2025-10-22,5e-07,5.1e-07,4.9e-07,4.9e-07,886934544761.0
ACAUSDT,2025-10-22,0.0184,0.021,0.018,0.0181,104172761.37
ANCUSDT,2022-12-27,0.03217,0.03245,0.03101,0.03151,7917672.4
XNOUSDT,2025-10-22,0.676,0.688,0.659,0.66,312231.93
WOOUSDT,2025-10-22,0.0413,0.0418,0.0399,0.04,23086247.1
ALPINEUSDT,2025-10-22,0.825,0.838,0.804,0.806,2351592.03
TUSDT,2025-10-22,0.0125,0.01316,0.01229,0.01234,108899976.5
ASTRUSDT,2025-10-22,0.01754,0.01776,0.017,0.01704,55694412.5
NBTUSDT,2023-09-08,0.00254,0.00257,0.00252,0.00252,468273.0
GMTUSDT,2025-10-22,0.0272,0.02747,0.02621,0.02631,114182025.3
KDAUSDT,2025-10-22,0.0928,0.0952,0.0561,0.0754,516678472.38
